[(149, 702), (218, 707), (137, 877), (70, 860)]
[(236, 707), (308, 711), (227, 891), (153, 878)]
[(326, 713), (405, 719), (331, 905), (247, 893)]
[(423, 723), (515, 722), (449, 923), (354, 909)]
[(538, 723), (639, 725), (584, 938), (476, 927)]
[(659, 727), (768, 728), (736, 945), (612, 936)]
[(793, 729), (906, 731), (895, 947), (761, 946)]
[(932, 731), (1048, 731), (1060, 947), (920, 946)]
[(1073, 734), (1185, 729), (1216, 939), (1084, 945)]
[(1214, 728), (1317, 726), (1364, 927), (1242, 939)]
[(1339, 727), (1439, 721), (1503, 915), (1392, 930)]
[(1463, 720), (1552, 718), (1625, 895), (1526, 909)]
[(1575, 713), (1652, 708), (1735, 883), (1646, 894)]
[(1673, 705), (1743, 702), (1824, 865), (1755, 877)]
[(1764, 698), (1831, 687), (1909, 846), (1846, 860)]
[(486, 407), (560, 406), (498, 524), (419, 523)]
[(571, 407), (640, 406), (592, 524), (513, 524)]
[(659, 403), (736, 403), (700, 523), (610, 527)]
[(752, 402), (832, 399), (808, 522), (716, 525)]
[(847, 400), (930, 399), (922, 521), (826, 520)]
[(943, 399), (1029, 396), (1037, 519), (936, 521)]
[(1044, 397), (1127, 399), (1148, 521), (1050, 519)]
[(1142, 398), (1225, 399), (1259, 519), (1167, 522)]
[(1241, 400), (1315, 401), (1364, 518), (1280, 518)]
[(1332, 402), (1405, 403), (1461, 519), (1381, 518)]
[(1421, 404), (1489, 405), (1552, 519), (1482, 518)]
[(1503, 407), (1564, 409), (1637, 522), (1573, 522)]
[(1580, 410), (1644, 410), (1722, 522), (1653, 524)]
[(540, 306), (601, 303), (562, 397), (497, 398)]
[(614, 305), (684, 304), (648, 394), (578, 397)]
[(700, 305), (767, 303), (739, 389), (666, 392)]
[(780, 305), (851, 302), (832, 390), (756, 391)]
[(866, 303), (935, 301), (932, 388), (849, 390)]
[(952, 301), (1020, 302), (1028, 388), (947, 387)]
[(1036, 303), (1108, 303), (1123, 389), (1045, 387)]
[(1122, 300), (1193, 303), (1220, 389), (1141, 388)]
[(1208, 303), (1273, 304), (1311, 390), (1237, 390)]
[(1288, 305), (1351, 308), (1398, 394), (1327, 391)]
[(1368, 308), (1425, 309), (1481, 396), (1412, 394)]
[(1442, 311), (1497, 315), (1556, 400), (1497, 398)]
[(1511, 317), (1572, 320), (1632, 398), (1574, 401)]
[(513, 192), (569, 190), (528, 241), (475, 242)]
[(577, 190), (622, 187), (588, 235), (537, 240)]
[(633, 187), (688, 182), (657, 229), (602, 232)]
[(696, 183), (748, 180), (726, 227), (670, 230)]
[(761, 180), (814, 178), (797, 222), (739, 226)]
[(825, 177), (881, 175), (868, 221), (810, 221)]
[(891, 176), (947, 175), (944, 221), (883, 220)]
[(957, 173), (1015, 173), (1018, 219), (957, 219)]
[(1026, 174), (1083, 172), (1092, 219), (1031, 218)]
[(1093, 174), (1149, 174), (1161, 219), (1106, 220)]
[(1160, 174), (1213, 177), (1235, 224), (1177, 222)]
[(1225, 177), (1277, 180), (1303, 227), (1249, 224)]
[(1290, 182), (1339, 184), (1372, 232), (1317, 229)]
[(1350, 184), (1397, 189), (1435, 235), (1383, 232)]
[(1409, 189), (1462, 192), (1502, 242), (1451, 237)]
